name,201412,201512,201612,201712,201812,201912,202012,change,rate
臺南市中西區,10114,9821,9761,10278,10645,11067,11494,849,7.98
臺南市善化區,6938,7017,7160,7329,7486,7731,7928,442,5.9
臺南市新市區,5140,5124,5210,5229,5312,5349,5386,74,1.39
臺南市左鎮區,371,335,321,287,292,282,255,-37,-12.67
臺南市龍崎區,327,292,254,222,211,199,171,-40,-18.96
臺南市山上區,689,645,606,616,601,558,548,-53,-8.82
臺南市柳營區,2121,1949,1910,1840,1770,1728,1712,-58,-3.28
臺南市西港區,2692,2606,2552,2492,2486,2442,2422,-64,-2.57
臺南市南化區,862,805,764,745,766,738,683,-83,-10.84
臺南市仁德區,8761,8760,8840,8986,9012,9003,8927,-85,-0.94
臺南市佳里區,7521,7287,7050,6996,6888,6908,6803,-85,-1.23
臺南市安定區,3735,3558,3540,3499,3412,3356,3322,-90,-2.64
臺南市大內區,1000,913,879,790,722,661,627,-95,-13.16
臺南市玉井區,1466,1402,1328,1275,1239,1194,1144,-95,-7.67
臺南市楠西區,1037,963,898,834,770,710,671,-99,-12.86
臺南市北門區,1118,1046,985,938,880,814,760,-120,-13.64
臺南市下營區,2670,2576,2503,2396,2304,2257,2172,-132,-5.73
臺南市官田區,2268,2180,2103,2065,2023,2003,1891,-132,-6.52
臺南市後壁區,2364,2205,2120,1957,1840,1753,1687,-153,-8.32
臺南市學甲區,2916,2782,2679,2563,2401,2351,2243,-158,-6.58
臺南市鹽水區,2987,2843,2727,2592,2489,2385,2331,-158,-6.35
臺南市將軍區,1771,1643,1571,1494,1436,1368,1264,-172,-11.98
臺南市安南區,27922,27620,27470,27408,27449,27284,27270,-179,-0.65
臺南市六甲區,2773,2593,2502,2432,2364,2299,2183,-181,-7.66
臺南市七股區,2568,2473,2407,2304,2182,2031,1987,-195,-8.94
臺南市麻豆區,5627,5395,5261,5146,4975,4866,4771,-204,-4.1
臺南市關廟區,3926,3757,3587,3473,3362,3283,3158,-204,-6.07
臺南市新化區,5278,5091,5021,4949,4832,4745,4627,-205,-4.24
臺南市白河區,3052,2827,2617,2545,2388,2302,2164,-224,-9.38
臺南市歸仁區,9237,9084,8991,8967,8853,8735,8625,-228,-2.58
臺南市東山區,2203,2074,1914,1826,1725,1578,1493,-232,-13.45
臺南市安平區,9898,9469,9302,9196,9014,8857,8579,-435,-4.83
臺南市新營區,10904,10507,10333,10171,9984,9713,9429,-555,-5.56
臺南市東區,29527,28200,27454,26794,26350,26030,25729,-621,-2.36
臺南市南區,13710,13454,13241,12960,12683,12322,11958,-725,-5.72
臺南市永康區,33601,33166,32790,32675,32393,32074,31334,-1059,-3.27
臺南市北區,18577,18158,17920,17422,16965,16520,15736,-1229,-7.24
