name,201412,201512,201612,201712,201812,201912,202012,change,rate
臺南市安南區,187775,189620,191196,192224,193438,194228,195623,2185,1.13
臺南市善化區,46100,46933,47660,48386,48968,50018,50814,1846,3.77
臺南市新市區,35482,35853,36268,36574,36898,37269,37660,762,2.07
臺南市永康區,228651,230806,232210,233905,234891,235699,235415,524,0.22
臺南市仁德區,73099,73887,74637,75518,75878,76094,76385,507,0.67
臺南市安平區,64898,65380,65813,66496,66775,67119,67213,438,0.66
臺南市中西區,77910,77498,76967,77770,78167,78493,78556,389,0.5
臺南市官田區,21706,21685,21535,21448,21314,21371,21212,-102,-0.48
臺南市安定區,30298,30331,30447,30564,30483,30413,30374,-109,-0.36
臺南市新化區,43782,43828,43727,43630,43456,43254,43317,-139,-0.32
臺南市西港區,24896,24921,24870,24758,24690,24554,24522,-168,-0.68
臺南市山上區,7500,7437,7359,7314,7317,7199,7128,-189,-2.58
臺南市左鎮區,5181,5071,4980,4876,4781,4676,4569,-212,-4.43
臺南市龍崎區,4292,4196,4107,4038,3995,3900,3768,-227,-5.68
臺南市歸仁區,67504,67906,68170,68424,68403,68135,68164,-239,-0.35
臺南市佳里區,59533,59555,59458,59380,59083,59089,58785,-298,-0.5
臺南市南化區,9001,8893,8838,8787,8724,8583,8398,-326,-3.74
臺南市楠西區,10116,10032,9898,9717,9537,9319,9178,-359,-3.76
臺南市學甲區,26949,26652,26377,26078,25665,25501,25293,-372,-1.45
臺南市柳營區,21828,21629,21520,21365,21205,21068,20826,-379,-1.79
臺南市鹽水區,26322,26085,25871,25583,25395,25223,25001,-394,-1.55
臺南市玉井區,14561,14388,14281,14151,13997,13769,13602,-395,-2.82
臺南市大內區,10248,10054,9962,9761,9605,9391,9200,-405,-4.22
臺南市關廟區,34865,34719,34601,34433,34353,34202,33941,-412,-1.2
臺南市北門區,11691,11527,11333,11188,11051,10830,10601,-450,-4.07
臺南市下營區,25068,24786,24508,24239,23916,23686,23452,-464,-1.94
臺南市六甲區,22832,22586,22406,22275,22148,21886,21668,-480,-2.17
臺南市麻豆區,45067,44987,44812,44603,44260,43993,43713,-547,-1.24
臺南市七股區,23608,23365,23172,22974,22732,22299,22142,-590,-2.6
臺南市將軍區,20568,20309,20051,19849,19664,19353,19073,-591,-3.01
臺南市後壁區,24589,24329,24066,23718,23346,23001,22755,-591,-2.53
臺南市東山區,21920,21603,21320,21049,20788,20449,20152,-636,-3.06
臺南市白河區,29731,29271,28819,28520,28105,27688,27245,-860,-3.06
臺南市南區,125691,125738,125768,125394,124824,124696,123789,-1035,-0.83
臺南市新營區,78231,78165,78101,77966,77617,76969,76331,-1286,-1.66
臺南市東區,190233,188865,187834,186841,186250,186009,184958,-1292,-0.69
臺南市北區,132558,132651,133091,132726,132112,131480,130094,-2018,-1.53
