name,201412,201512,201612,201712,201812,201912,202012,change,rate
連江縣北竿鄉,2320,2333,2344,2360,2425,2595,2717,292,12.04
新北市林口區,97645,100350,103219,106101,110081,115582,121192,11111,10.09
新竹縣竹北市,165118,170790,176604,181955,187336,194516,200782,13446,7.18
連江縣東引鄉,1266,1270,1307,1352,1350,1352,1435,85,6.3
新北市淡水區,158953,162221,165765,169597,173502,178610,183278,9776,5.63
高雄市仁武區,80994,82614,84122,85894,87694,89595,91893,4199,4.79
澎湖縣湖西鄉,14315,14413,14435,14508,14594,14997,15230,636,4.36
金門縣金寧鄉,27307,28833,30006,30838,31765,32531,33070,1305,4.11
彰化縣大村鄉,36457,36531,36762,36870,36968,37124,38457,1489,4.03
雲林縣麥寮鄉,43880,44600,45126,45665,46196,47196,47951,1755,3.8
臺南市善化區,46100,46933,47660,48386,48968,50018,50814,1846,3.77
新北市五股區,82255,82923,84134,84919,86329,88000,89470,3141,3.64
高雄市橋頭區,37198,37317,37448,37579,37650,38254,38955,1305,3.47
桃園市八德區,181431,187420,192922,198074,202198,205974,209202,7004,3.46
桃園市大園區,84531,85565,87158,89281,90888,93078,93887,2999,3.3
臺中市南屯區,161906,164575,166685,168760,170618,173532,176062,5444,3.19
臺中市北屯區,259742,265159,270547,274819,279297,283621,287344,8047,2.88
桃園市楊梅區,157200,161098,163959,167639,170380,173049,175142,4762,2.79
桃園市復興區,10913,10930,11192,11505,12026,12176,12354,328,2.73
新北市汐止區,195140,196028,197749,199321,200535,203429,205847,5312,2.65
澎湖縣望安鄉,5117,5091,5131,5176,5235,5273,5371,136,2.6
桃園市中壢區,381449,389782,396453,405216,412063,417380,422471,10408,2.53
桃園市觀音區,63602,64785,65555,66472,67358,67956,69032,1674,2.49
桃園市龜山區,141998,145580,152817,157633,160591,162921,164398,3807,2.37
桃園市桃園區,417366,427145,434243,440840,447302,452824,457245,9943,2.22
新北市八里區,37187,37678,38167,38493,38906,39531,39741,835,2.15
新竹市東區,206843,208142,209826,212553,215566,217841,220056,4490,2.08
臺南市新市區,35482,35853,36268,36574,36898,37269,37660,762,2.07
高雄市楠梓區,178532,179931,181845,183751,185687,187999,189426,3739,2.01
宜蘭縣五結鄉,39378,39559,39657,39673,39543,39959,40297,754,1.91
