name,201412,201512,201612,201712,201812,201912,202012,change,rate
新北市林口區,17964,18039,18397,18718,19264,20300,21526,2262,11.74
宜蘭縣五結鄉,4087,3914,3755,3648,3496,3668,3881,385,11.01
彰化縣大村鄉,4352,4247,4210,4219,4207,4170,4615,408,9.7
花蓮縣鳳林鎮,1106,1046,1011,943,918,956,996,78,8.5
臺南市中西區,10114,9821,9761,10278,10645,11067,11494,849,7.98
新竹縣竹北市,38006,39079,40556,41743,42510,44145,45333,2823,6.64
屏東縣來義鄉,1087,1020,995,970,930,954,987,57,6.13
臺南市善化區,6938,7017,7160,7329,7486,7731,7928,442,5.9
金門縣金寧鄉,2595,2645,2720,2757,2779,2861,2889,110,3.96
高雄市楠梓區,26695,26028,26013,26214,26401,27018,27363,962,3.64
桃園市復興區,1792,1778,1789,1836,1865,1880,1924,59,3.16
桃園市八德區,26489,27172,28169,28973,29715,30383,30626,911,3.07
新北市淡水區,20206,20029,20132,20135,20263,20450,20804,541,2.67
屏東縣崁頂鄉,3315,3104,2974,2867,2754,2761,2823,69,2.51
澎湖縣七美鄉,427,422,376,407,387,383,395,8,2.07
臺中市北屯區,39446,39644,40245,40510,40950,41337,41751,801,1.96
高雄市新興區,5723,5528,5382,5312,5311,5389,5407,96,1.81
新竹市東區,42592,42144,42182,42500,43301,43617,44067,766,1.77
高雄市仁武區,11055,10896,10862,10895,10941,11029,11127,186,1.7
臺南市新市區,5140,5124,5210,5229,5312,5349,5386,74,1.39
屏東縣牡丹鄉,611,595,600,588,575,571,583,8,1.39
南投縣草屯鎮,12926,12293,11840,11262,10909,11090,11057,148,1.36
花蓮縣卓溪鄉,950,908,940,980,972,970,984,12,1.23
高雄市橋頭區,4334,4215,4164,4015,4011,3995,4057,46,1.15
新北市汐止區,22425,21550,21226,20773,20356,20495,20570,214,1.05
臺中市南屯區,29115,28597,28407,28140,27956,28066,28129,173,0.62
高雄市鼓山區,20168,20134,20456,20569,20839,20984,20963,124,0.6
臺中市太平區,26127,26123,26289,26724,26957,27165,27105,148,0.55
屏東縣春日鄉,811,782,795,784,777,780,781,4,0.51
澎湖縣望安鄉,529,495,492,481,475,480,477,2,0.42
臺東縣蘭嶼鄉,816,818,795,752,764,739,767,3,0.39
高雄市茄萣區,3492,3288,3124,2938,2862,2859,2870,8,0.28
宜蘭縣冬山鄉,6847,6590,6277,6132,5876,5927,5891,15,0.26
桃園市中壢區,59881,60325,60814,61776,62570,62664,62721,151,0.24
彰化縣伸港鄉,5659,5534,5486,5372,5290,5243,5300,10,0.19
桃園市大園區,13253,12993,13007,13117,13336,13468,13345,9,0.07
桃園市楊梅區,25350,25320,25338,25652,25919,25934,25933,14,0.05
連江縣南竿鄉,1007,1011,1026,1010,968,978,968,0,0
澎湖縣湖西鄉,1588,1540,1465,1466,1406,1350,1404,-2,-0.14
臺東縣池上鄉,935,897,857,801,766,772,764,-2,-0.26
臺中市梧棲區,9309,9187,9152,9045,8943,8921,8915,-28,-0.31
新北市八里區,4890,4774,4670,4587,4530,4557,4515,-15,-0.33
南投縣南投市,13934,13235,12725,12202,11823,11642,11778,-45,-0.38
新北市五股區,11585,11184,11024,10844,10774,10713,10725,-49,-0.45
雲林縣麥寮鄉,7837,7539,7438,7263,7094,7100,7059,-35,-0.49
高雄市田寮區,499,435,403,390,377,374,375,-2,-0.53
新北市新莊區,62535,60598,59567,58999,58308,58211,57956,-352,-0.6
桃園市龍潭區,17077,16992,17103,17147,17155,17140,17045,-110,-0.64
臺南市安南區,27922,27620,27470,27408,27449,27284,27270,-179,-0.65
屏東縣三地門鄉,1162,1147,1113,1092,1077,1061,1070,-7,-0.65
新北市土城區,32060,30681,29911,29317,28692,28533,28476,-216,-0.75
彰化縣北斗鎮,4846,4713,4629,4565,4511,4476,4476,-35,-0.78
臺中市中區,3631,3451,3314,3218,3250,3233,3223,-27,-0.83
澎湖縣馬公市,7574,7298,7270,7150,6998,6937,6938,-60,-0.86
苗栗縣頭份市,17357,17058,16614,16072,15595,15444,15460,-135,-0.87
臺南市仁德區,8761,8760,8840,8986,9012,9003,8927,-85,-0.94
新北市板橋區,79020,76589,75049,74016,73546,73337,72852,-694,-0.94
新北市鶯歌區,13861,12928,12345,11860,11397,11278,11287,-110,-0.97
嘉義縣太保市,5544,5299,5152,5014,4934,4926,4882,-52,-1.05
臺東縣金峰鄉,610,589,586,570,556,557,550,-6,-1.08
苗栗縣竹南鎮,14909,14853,14721,14480,14335,14198,14171,-164,-1.14
澎湖縣白沙鄉,1084,1022,1019,989,963,981,952,-11,-1.14
高雄市苓雅區,20039,19322,18950,18630,18471,18409,18261,-210,-1.14
